Market,,Sum(Quote amounts),,Sum(Base amounts),,Quote/BTS ticker,,Base/BTS ticker,,Volume in BTS,,Trade count
OPEN.ETH/OPEN.BTC,,233990,,810209,,2927.57186875291,,83616.1379374634,,685.02254156949,,14
BRIDGE.PGN/BRIDGE.BTC,,33802970421,,5638523,,0.001214480000203,,81916.071505865,,4105.3031523767,,16
BTS/ELOAD,,1701734,,2013886,,0,,0.084499996387677,,17.017335972519,,3
BRIDGE.BTC/BRIDGE.ADD,,324649,,5567794627,,81916.071505865,,0,,265.93970698308,,2
BRIDGE.BTCC/BRIDGE.BTC,,1077292261,,388508,,2.33300004875989,,81916.071505865,,251.33228974416,,3
BRIDGE.GRLC/BRIDGE.BTC,,30127464790,,213905,,0.000211,,81916.071505865,,0.63568950706912,,4
BRIDGE.ISF/BRIDGE.BTC,,59507725225,,220159,,0,,81916.071505865,,180.3456038666,,2
BRIDGE.PRJ/BRIDGE.BTC,,212566598258,,1917242,,0,,81916.071505865,,1570.5293276605,,3
BTS/ETHERIA,,1701731,,901388,,0,,18.8789885438865,,17.017293725597,,3
BRIDGE.BTC/BRIDGE.ARRR,,7184387,,10909860443,,81916.071505865,,0.008084074373484,,5885.1675921781,,10
CNY/ABCHH,,9444220,,1426,,3.19386777333333,,0,,3016.358990227,,10
BRIDGE.BTC/BRIDGE.SND,,5969697,,148182659712,,81916.071505865,,0,,4890.1412632035,,19
BRIDGE.WCF/BRIDGE.BTC,,504655550465,,4572168,,0,,81916.071505865,,3745.3404082483,,23
BTS/FASTBTC,,600564,,6067,,0,,98988.5962360163,,6.0056381336391,,1
BRIDGE.BTC/BRIDGE.LTC,,4261256,,293163664,,81916.071505865,,995.424509601951,,3490.653512008,,11
BRIDGE.PCR/BRIDGE.BTC,,28648810339,,21070510,,0,,81916.071505865,,17260.13403825,,18
BRIDGE.MOBI/BRIDGE.BTC,,24492952051,,212924439,,0,,81916.071505865,,174419.3357047,,78
BRIDGE.ETH/BRIDGE.BTC,,2996484,,10538080,,2890.90000552586,,81916.071505865,,8662.5356121582,,12
BTS/RUDEX.BTC,,2378513377,,28121239,,0,,82828.3565,,23292.360091137,,92
BRIDGE.BTC/BRIDGE.EPIC,,13251929,,243712491023,,81916.071505865,,0.0001011,,10855.459635546,,10
BRIDGE.BTC/BRIDGE.BWK,,6881729,,49512113586,,81916.071505865,,1.4,,5637.2420484799,,9
BRIDGE.VIVO/BRIDGE.BTC,,2207224801,,82354,,4.99015928114E-06,,81916.071505865,,0.001101440332627,,3
ALGO.USDT/ALGO.ETC,,22888890,,52763,,0,,0,,0,,619
BRIDGE.YOKE/BRIDGE.BTC,,6359000000,,25436,,6.6770000000037E-05,,81916.071505865,,0.42459043000024,,3
ESCODEX.HLX/ESCODEX.BTC,,216827474750,,118666,,0,,80035.2756382355,,94.974660188868,,7
BRIDGE.BTC/BRIDGE.LCC,,214665,,972219396,,81916.071505865,,0.1000001000001,,175.84513489807,,7
BRIDGE.WVC/BRIDGE.BTC,,119463509,,3407775,,0,,81916.071505865,,2791.515405759,,10
BTS/EDASH,,1701730,,645203,,0,,2637.50892556998,,17.017286713045,,3
