Market,	Sum(Quote amounts),	Sum(Base amounts),	Quote/BTS ticker,	Base/bts ticker,	Volume in BTS,	Trade count
ILICOIN/DEEX,	32993,	3557,	315.0000683685887355,	0.28000000045454545454,	0.10392797255685,	2
BTS/DEEX,	178924472,	52892159,	0,	0.28000000045454545454,	1480.9804544042,	19
DEEX/BTS,	791059022,	2632990981,	0.28000000045454545454,	0,	22149.652651957,	22
DEEX/CRYPTONOMICA,	5617600,	18592,	0.28000000045454545454,	1.3,	157.29280025535,	2
DEEX/DEEX.ETH,	136827,	1163,	0.28000000045454545454,	3984.063745019920318725,	3.8311560062194,	8
BTS/DEEX.ETH,	100000,	251,	0,	3984.063745019920318725,	1,	1
