Market,	Sum(Quote amounts),	Sum(Base amounts),	Quote/BTS ticker,	Base/BTS ticker,	Volume in BTS,	Trade count
BRIDGE.BTC/BRIDGE.SINS,	584892866,	88566465053,	82900.179893390368657,	0,	484877.23809761,	123
BRIDGE.BTC/BRIDGE.MONK,	2098261,	18731171090,	82900.179893390368657,	9.99999996761527328,	1739.4621436329,	5
BRIDGE.VIVO/BRIDGE.BTC,	26881125901,	1003414,	0.00000499015928114,	82900.179893390368657,	0.013414109990237,	30
BRIDGE.BTC/BRIDGE.BTXC,	862769,	4236332463,	82900.179893390368657,	0,	715.23705306441,	5
BRIDGE.BTC/BRIDGE.IMPL,	204750,	4550000000,	82900.179893390368657,	0,	169.73811833172,	1
BRIDGE.DKPC/BRIDGE.BTC,	437149675859,	11945890,	0,	82900.179893390368657,	9903.1642998665,	30
BRIDGE.BTC/GDEX.BTC,	16289863,	16239183,	82900.179893390368657,	84530.6924053361435106,	13504.325731387,	27
BRIDGE.BTC/BRIDGE.LRM,	787641425,	314862712643,	82900.179893390368657,	0,	652956.15823986,	510
BRIDGE.XXX/BRIDGE.BTC,	19909004455,	19909,	0.00550000000055,	82900.179893390368657,	10.949952451345,	1
BRIDGE.BTC/BTS,	20819297,	1707168539,	82900.179893390368657,	0,	17259.234665539,	323
BRIDGE.CRCO/BRIDGE.BTC,	5600296690,	1006196,	1.6,	82900.179893390368657,	896.0474704,	10
BRIDGE.INN/BRIDGE.BTC,	13594088430,	829627,	0.9876222,	82900.179893390368657,	1342.5823522231,	16
BRIDGE.KEC/BRIDGE.BTC,	13726836,	180,	0.00250600000000401,	82900.179893390368657,	0.0034399451016055,	1
BRIDGE.P2P/BRIDGE.BTC,	47913388006,	21773937,	0,	82900.179893390368657,	18050.632942873,	60
BRIDGE.BCO/BRIDGE.BTC,	110756702505,	89235758,	6.88238483424515096,	82900.179893390368657,	76227.024961141,	180
BRIDGE.BTC/BRIDGE.BCO,	19910812,	23846895076,	82900.179893390368657,	6.88238483424515096,	16506.098966235,	198
BRIDGE.BWK/BRIDGE.BTC,	153970116577,	21446461,	1.4,	82900.179893390368657,	21555.81632078,	44
BRIDGE.C2P/BRIDGE.BTC,	44093346717,	232018,	0,	82900.179893390368657,	192.34333938505,	12
BRIDGE.ANDS/BRIDGE.BTC,	2000000,	2,	0,	82900.179893390368657,	0.0016580035978678,	1
BRIDGE.FROST/BRIDGE.BTC,	222886234588,	3059971,	0.04255317235517161,	82900.179893390368657,	948.45163560184,	20
BRIDGE.BTC/BRIDGE.CSTL,	1691406,	14128650692,	82900.179893390368657,	0,	1402.1786167276,	5
BRIDGE.BTC/BRIDGE.LPC,	7408867,	32729193765,	82900.179893390368657,	0.50001000003333066,	6141.964071062,	72
BRIDGE.XGS/BRIDGE.BTC,	4569947955,	131255,	0,	82900.179893390368657,	108.81063111907,	4
BRIDGE.BTC/BRIDGE.ARION,	1283385,	91113301979,	82900.179893390368657,	0.00018880000000001,	1063.9284737248,	3
BRIDGE.BTC/BRIDGE.LTC,	74136767,	5079557945,	82900.179893390368657,	995.4245096019513782,	61459.513210144,	184
BRIDGE.CTT/BRIDGE.BTC,	57864312075,	228238213,	0,	82900.179893390368657,	189209.88916246,	199
BRIDGE.PGN/BRIDGE.BTC,	108378800730,	19082667,	0.00121448000020325537,	82900.179893390368657,	13162.38859326,	248
BRIDGE.ECA/BRIDGE.BTC,	7250453302,	4804545,	0.00325181950328025698,	82900.179893390368657,	2357.7165455066,	14
BRIDGE.MTAP/BRIDGE.BTC,	9501506500,	18686925,	0,	82900.179893390368657,	15491.494441543,	34
BRIDGE.BTC/BRIDGE.FTON,	70330664,	21541972654,	82900.179893390368657,	0,	58304.246976216,	182
BRIDGE.ZNZ/BRIDGE.BTC,	3541999999,	159390,	0,	82900.179893390368657,	132.13459673207,	1
BTS/BRIDGE.BTC,	600996050,	7271499,	0,	82900.179893390368657,	6028.0857519461,	86
BRIDGE.EXUS/BRIDGE.BTC,	222962963,	602,	0.00180999999993001,	82900.179893390368657,	0.040356296301439,	1
BRIDGE.BTC/BRIDGE.TRAID,	22198207,	462582901438,	82900.179893390368657,	0.03125,	18402.353536107,	12
BRIDGE.BCH/BRIDGE.BTC,	2641164157,	89673913,	8325.3899082568807339,	82900.179893390368657,	219887.21418738,	3
BRIDGE.BTC/BRIDGE.MARC,	72352145,	225076934626,	82900.179893390368657,	0.00200010000000775,	59980.058361727,	229
BRIDGE.PACT/BRIDGE.BTC,	24049718176,	864085,	0,	82900.179893390368657,	716.3280194318,	6
BRIDGE.LOL/BRIDGE.BTC,	2537142859,	1776,	0.00014996121995,	82900.179893390368657,	0.0038047303832307,	8
BRIDGE.DASH/BRIDGE.BTC,	7014706673,	160719003,	1604.6235181591834798,	82900.179893390368657,	112559.63300484,	63
BRIDGE.GRLC/BRIDGE.BTC,	83703633039,	591088,	0.00021100000000004,	82900.179893390368657,	1.7661466571232,	20
BRIDGE.KREDS/BRIDGE.BTC,	601200000,	30060,	0.00300000030000003,	82900.179893390368657,	18.0360018036,	1
BRIDGE.ADD/BRIDGE.BTC,	134088302824,	7369082,	0,	82900.179893390368657,	6108.9822344914,	17
BRIDGE.BTC/BRIDGE.NRG,	67251663,	1800078852,	82900.179893390368657,	16,	55751.749608297,	49
BRIDGE.ETH/BRIDGE.BTC,	11236799,	39718310,	2890.900005525864995224,	82900.179893390368657,	32484.462291193,	53
BRIDGE.XMN/BRIDGE.BTC,	18001875000,	57606,	0.0000739,	82900.179893390368657,	0.13303385625,	2
BRIDGE.BTC/BRIDGE.MUE,	330000,	67484669,	82900.179893390368657,	0.2083333333333333333,	273.57059364819,	1
BRIDGE.SNO/BRIDGE.BTC,	3387871895,	509285,	0,	82900.179893390368657,	422.19818117005,	20
BRIDGE.ALQO/BRIDGE.BTC,	181366480991,	89755299,	0.121513200005831807,	82900.179893390368657,	22038.421479013,	61
BRIDGE.BITG/BRIDGE.BTC,	9217607969,	6352815,	3.42959877547086047,	82900.179893390368657,	3161.2697003253,	14
BRIDGE.AGM/BRIDGE.BTC,	99707607527,	1734544,	0.0000111519980533,	82900.179893390368657,	0.11119390450403,	35
BRIDGE.XZC/BRIDGE.BTC,	55094999,	771950,	0.09524100000151779,	82900.179893390368657,	0.52473027998426,	8
BRIDGE.ACED/BRIDGE.BTC,	56900000,	5121,	0,	82900.179893390368657,	4.2453182123405,	1
BRIDGE.BTC/BRIDGE.BECN,	4532500,	91816390690,	82900.179893390368657,	0.00019394879751745,	3757.4506536679,	16
BRIDGE.BLCR/BRIDGE.BTC,	12874170369,	383265716,	0,	82900.179893390368657,	317727.96803369,	151
BRIDGE.CHEESE/BRIDGE.BTC,	11935484,	185,	0.0005410000000262926,	82900.179893390368657,	0.064570968443138,	1
BRIDGE.BTC/BRIDGE.MTAP,	25324513,	1910318002,	82900.179893390368657,	0,	20994.066834125,	12
BRIDGE.UFO/BRIDGE.BTC,	59166810617,	2087333,	0.000200500000002807,	82900.179893390368657,	118.62945528875,	19
BRIDGE.LPC/BRIDGE.BTC,	169475925698,	36815918,	0.50001000003333066,	82900.179893390368657,	8473.9657613906,	246
BRIDGE.MANO/BRIDGE.BTC,	9198628823,	581875,	0.00066670000000036,	82900.179893390368657,	0.61327258362974,	10
BRIDGE.BTC/BRIDGE.QBIC,	1005935,	79406835226,	82900.179893390368657,	0.0030120000000453,	833.92192461058,	7
